t_s,P_rigid_W,P_membrane_W,lift_rigid_N,lift_membrane_N,drag_rigid_N,drag_membrane_N,elastic_energy_J,effective_alpha_deg
0.4833,13.897455,-7.476333,-1.383513,-0.223284,0.214544,0.137318,2.11441614,54.5492
0.4875,5.179458,1.593267,-0.788913,-0.000215,0.191858,0.171141,2.10108928,36.5466
0.4917,4.953248,-2.615546,-0.380778,-0.244721,0.226576,0.244439,2.09843966,53.4504
0.4958,8.718770,-4.284227,-2.894124,-1.503961,0.422221,0.356194,2.09557895,18.4586
0.5000,6.710332,-4.736599,-4.414336,-4.946737,0.622338,0.646433,2.09384708,27.9969
0.5042,8.020355,-2.423605,-6.535496,-8.510574,1.023982,1.227760,2.07650387,46.9366
0.5083,1.699776,-8.720758,-2.330271,-3.073460,0.324318,0.386402,2.08116981,66.2201
0.5125,4.161543,-5.957816,-5.959355,-7.711700,1.180988,1.408928,2.01776614,32.4309
0.5167,1.204178,-9.040847,-4.464285,-5.799432,0.710234,0.849266,2.04586405,9.5964
0.5208,2.227800,-8.243009,-8.484992,-7.530616,2.056311,1.563527,2.02535020,39.7823
0.5250,-0.645840,9.426967,-3.549059,-1.875982,0.550141,0.235463,2.03497620,38.4581
0.5292,0.333353,-9.882987,-8.454906,-8.364587,2.711385,2.344132,2.01121618,60.4466
0.5333,-1.830303,8.601231,-4.033217,-6.711328,0.647617,1.170986,2.03809887,43.7943
0.5375,-1.410722,7.087686,-0.466705,-10.839334,0.076292,2.111288,1.97594199,27.7772
0.5417,-2.646756,5.894052,-4.436838,-16.513563,1.860020,4.745419,2.03740620,23.6545
0.5458,-4.071319,5.208938,-6.515870,-11.226947,1.998653,2.227967,1.96177601,52.6293
0.5500,-4.479094,3.408765,-5.702972,-14.651790,1.159559,4.655272,2.02462334,4.1840
0.5542,-4.725424,4.365760,-5.312570,-8.701003,1.030723,2.142627,1.95099337,55.9532
0.5583,-6.995070,4.368622,-9.953251,-5.801603,2.471601,1.953644,2.00453785,65.1802
0.5625,-11.069439,4.454240,-11.797894,-2.491085,4.776083,0.976039,1.95463170,44.3456
0.5667,-7.249970,9.784362,-7.435308,-0.361688,1.768143,0.039662,1.98369266,77.9008
0.5708,-5.749707,3.588655,-3.755041,-1.596623,1.129642,0.637446,1.98832088,22.3770
0.5750,-7.533873,2.536180,-2.141790,-4.571767,0.944020,1.564310,1.97519988,43.0824
0.5792,-2.714425,3.532564,-0.779560,-5.053659,0.174290,1.134122,1.99789378,64.0001
0.5833,-5.069798,0.810348,-0.736425,-9.064868,0.325335,2.311402,2.00781879,54.2906
0.5875,-3.747066,-3.207095,-1.276135,-9.124709,0.283149,3.377010,1.96154756,67.0025
0.5917,-8.938681,0.502920,-1.844352,-5.333830,0.815566,1.834538,2.00682468,33.3862
0.5958,-4.473398,1.631166,-1.690210,-2.050331,0.332865,0.812950,1.95341291,18.1254
0.6000,-9.610704,6.533965,-1.586633,-0.720742,0.701580,0.228291,1.99069207,44.5715
0.6042,-5.097752,7.786337,-0.601289,0.009467,0.262702,0.002667,1.98815081,25.7611
0.6083,-0.007823,-7.788497,-0.039502,0.134452,0.006102,0.024604,1.97224966,34.5648
0.6125,-0.473411,9.260034,0.047286,-0.015824,0.014662,0.006217,1.99002042,21.9271
0.6167,-1.962278,5.038950,-0.241981,-0.527128,0.061450,0.210354,1.97179027,33.3049
0.6208,-3.052387,-9.483494,-0.592796,-0.328094,0.144280,0.034390,1.95765212,46.1407
0.6250,2.057773,-7.384668,-0.000088,-0.005704,0.000219,0.001108,1.96135502,57.1387
0.6292,1.168550,-8.340622,0.101285,0.075256,0.014162,0.006540,1.92528436,0.6603
0.6333,5.313046,-8.999714,0.188217,0.024647,0.077770,0.003320,1.95602456,18.2824
0.6375,-2.162105,6.377196,0.099853,-0.059851,0.044206,0.021030,1.92215380,61.2971
0.6417,0.442860,-6.639164,-0.130544,0.229966,0.027234,0.048886,1.95290169,31.1628
0.6458,1.399864,-8.589185,0.108024,0.071205,0.032592,0.029966,1.92126710,49.1133
0.6500,2.798677,-1.933316,0.635200,0.699395,0.122991,0.185775,1.95310269,30.4882
0.6542,4.155224,-8.797851,1.471979,0.094631,0.257986,0.027044,1.92127678,45.2311
0.6583,10.386578,-3.265918,2.982571,0.254532,1.259544,0.067508,1.94855860,23.4050
0.6625,3.115343,6.078669,0.991066,0.627364,0.146915,0.243977,1.91897520,24.3075
0.6667,3.129792,-2.835806,0.854106,0.100286,0.166144,0.023084,1.95095675,53.6359
0.6708,5.971323,-3.516772,1.142930,0.971586,0.485571,0.224373,1.91972121,64.0331
0.6750,-3.257903,-3.720274,0.584264,1.747754,0.245058,0.286830,1.94906970,40.4347
0.6792,3.805480,-3.513582,0.539911,2.312048,0.219435,0.291402,1.91631286,19.3986
0.6833,3.478331,-1.386933,1.297989,3.661696,0.290103,0.560486,1.95336792,54.3506
0.6875,3.580373,-0.072164,1.840040,4.582622,0.302334,0.807582,1.92236609,58.9478
0.6917,8.432859,-4.294293,5.387362,2.682371,1.764737,0.288181,1.95810970,54.3092
0.6958,6.528247,-4.678119,6.408408,2.159460,1.480322,0.244672,1.93092960,34.0416
0.7000,5.403042,-5.157465,6.307360,2.167045,1.080163,0.325049,1.96113031,45.3536
0.7042,7.354528,8.317077,9.785209,0.252931,2.450195,0.089235,1.92175232,60.8975
0.7083,4.921472,-6.181704,9.393031,0.938809,1.719952,0.217519,1.95495796,59.8170
0.7125,3.067660,-7.573637,5.954287,1.382526,0.857331,0.189291,1.92096150,45.9950
0.7167,2.447978,-8.488922,7.349118,1.451706,1.270018,0.138802,1.95801082,54.0398
0.7208,0.490777,-8.872465,0.966638,1.300437,0.158927,0.110243,1.92443720,58.7991
0.7250,-0.315286,-9.661978,1.918588,0.924460,0.283759,0.086915,1.95927626,12.9540
0.7292,0.063711,8.707778,0.038603,0.915835,0.037891,0.092390,1.92815139,48.1622
0.7333,-2.146566,7.038567,0.540285,0.786460,0.085911,0.104381,1.96569829,58.8089
0.7375,-2.175995,5.919595,0.611648,0.136110,0.118492,0.119495,1.94015249,37.3506
0.7417,-2.644519,3.728501,0.070853,1.221676,0.155868,0.141796,1.98202657,58.4176
0.7458,-3.656898,2.573313,1.126011,2.303929,0.240399,0.213674,1.95947495,21.9521
0.7500,-7.551134,1.246677,4.348366,1.784117,0.627453,0.169268,2.00529607,30.2682
0.7542,-10.380634,7.298234,6.234488,0.341305,0.988548,0.040441,1.98156033,58.6827
0.7583,-10.747421,5.838577,7.071006,1.016262,1.047217,0.086570,2.01671324,31.8479
0.7625,-12.432381,-2.507648,10.546549,3.778498,1.668479,0.530662,1.99345187,12.5623
0.7667,-14.428185,-1.644916,11.575349,3.775482,2.426808,0.404643,2.04298021,61.8006
